Groups:
nett_inst/tcp_rx_flow[7:0] =, nett_inst/tcp_rx_flow[7], nett_inst/tcp_rx_flow[6], nett_inst/tcp_rx_flow[5], nett_inst/tcp_rx_flow[4], nett_inst/tcp_rx_flow[3], nett_inst/tcp_rx_flow[2], nett_inst/tcp_rx_flow[1], nett_inst/tcp_rx_flow[0], ,
nett_inst/fifo_d[7:0] =, nett_inst/fifo_d[7], nett_inst/fifo_d[6], nett_inst/fifo_d[5], nett_inst/fifo_d[4], nett_inst/fifo_d[3], nett_inst/fifo_d[2], nett_inst/fifo_d[1], nett_inst/fifo_d[0], ,
nett_inst/s1_ack[31:0] =, nett_inst/s1_ack[31], nett_inst/s1_ack[30], nett_inst/s1_ack[29], nett_inst/s1_ack[28], nett_inst/s1_ack[27], nett_inst/s1_ack[26], nett_inst/s1_ack[25], nett_inst/s1_ack[24], nett_inst/s1_ack[23], nett_inst/s1_ack[22], nett_inst/s1_ack[21], nett_inst/s1_ack[20], nett_inst/s1_ack[19], nett_inst/s1_ack[18], nett_inst/s1_ack[17], nett_inst/s1_ack[16], nett_inst/s1_ack[15], nett_inst/s1_ack[14], nett_inst/s1_ack[13], nett_inst/s1_ack[12], nett_inst/s1_ack[11], nett_inst/s1_ack[10], nett_inst/s1_ack[9], nett_inst/s1_ack[8], nett_inst/s1_ack[7], nett_inst/s1_ack[6], nett_inst/s1_ack[5], nett_inst/s1_ack[4], nett_inst/s1_ack[3], nett_inst/s1_ack[2], nett_inst/s1_ack[1], nett_inst/s1_ack[0], ,
nett_inst/s1_seq[31:0] =, nett_inst/s1_seq[31], nett_inst/s1_seq[30], nett_inst/s1_seq[29], nett_inst/s1_seq[28], nett_inst/s1_seq[27], nett_inst/s1_seq[26], nett_inst/s1_seq[25], nett_inst/s1_seq[24], nett_inst/s1_seq[23], nett_inst/s1_seq[22], nett_inst/s1_seq[21], nett_inst/s1_seq[20], nett_inst/s1_seq[19], nett_inst/s1_seq[18], nett_inst/s1_seq[17], nett_inst/s1_seq[16], nett_inst/s1_seq[15], nett_inst/s1_seq[14], nett_inst/s1_seq[13], nett_inst/s1_seq[12], nett_inst/s1_seq[11], nett_inst/s1_seq[10], nett_inst/s1_seq[9], nett_inst/s1_seq[8], nett_inst/s1_seq[7], nett_inst/s1_seq[6], nett_inst/s1_seq[5], nett_inst/s1_seq[4], nett_inst/s1_seq[3], nett_inst/s1_seq[2], nett_inst/s1_seq[1], nett_inst/s1_seq[0], ,
nett_inst/s1_win[31:0] =, nett_inst/s1_win[31], nett_inst/s1_win[30], nett_inst/s1_win[29], nett_inst/s1_win[28], nett_inst/s1_win[27], nett_inst/s1_win[26], nett_inst/s1_win[25], nett_inst/s1_win[24], nett_inst/s1_win[23], nett_inst/s1_win[22], nett_inst/s1_win[21], nett_inst/s1_win[20], nett_inst/s1_win[19], nett_inst/s1_win[18], nett_inst/s1_win[17], nett_inst/s1_win[16], nett_inst/s1_win[15], nett_inst/s1_win[14], nett_inst/s1_win[13], nett_inst/s1_win[12], nett_inst/s1_win[11], nett_inst/s1_win[10], nett_inst/s1_win[9], nett_inst/s1_win[8], nett_inst/s1_win[7], nett_inst/s1_win[6], nett_inst/s1_win[5], nett_inst/s1_win[4], nett_inst/s1_win[3], nett_inst/s1_win[2], nett_inst/s1_win[1], nett_inst/s1_win[0], ,
nett_inst/s1_flags[7:0] =, nett_inst/s1_flags[7], nett_inst/s1_flags[6], nett_inst/s1_flags[5], nett_inst/s1_flags[4], nett_inst/s1_flags[3], nett_inst/s1_flags[2], nett_inst/s1_flags[1], nett_inst/s1_flags[0], ,
nett_inst/s1_mss[13:0] =, nett_inst/s1_mss[13], nett_inst/s1_mss[12], nett_inst/s1_mss[11], nett_inst/s1_mss[10], nett_inst/s1_mss[9], nett_inst/s1_mss[8], nett_inst/s1_mss[7], nett_inst/s1_mss[6], nett_inst/s1_mss[5], nett_inst/s1_mss[4], nett_inst/s1_mss[3], nett_inst/s1_mss[2], nett_inst/s1_mss[1], nett_inst/s1_mss[0], ,
nett_inst/s1/s1_ptr[4:0] =, nett_inst/s1/s1_ptr[4], nett_inst/s1/s1_ptr[3], nett_inst/s1/s1_ptr[2], nett_inst/s1/s1_ptr[1], nett_inst/s1/s1_ptr[0], ,
nett_inst/s1/state[4:0] =, nett_inst/s1/state[4], nett_inst/s1/state[3], nett_inst/s1/state[2], nett_inst/s1/state[1], nett_inst/s1/state[0], ,
nett_inst/s1/s0_ptr[5:0] =, nett_inst/s1/s0_ptr[5], nett_inst/s1/s0_ptr[4], nett_inst/s1/s0_ptr[3], nett_inst/s1/s0_ptr[2], nett_inst/s1/s0_ptr[1], nett_inst/s1/s0_ptr[0], ,

Data:
time unit: us, nett_inst/tcp_rx_flow[7:0], nett_inst/tcp_rx_flow[7], nett_inst/tcp_rx_flow[6], nett_inst/tcp_rx_flow[5], nett_inst/tcp_rx_flow[4], nett_inst/tcp_rx_flow[3], nett_inst/tcp_rx_flow[2], nett_inst/tcp_rx_flow[1], nett_inst/tcp_rx_flow[0], nett_inst/fifo_d[7:0], nett_inst/fifo_d[7], nett_inst/fifo_d[6], nett_inst/fifo_d[5], nett_inst/fifo_d[4], nett_inst/fifo_d[3], nett_inst/fifo_d[2], nett_inst/fifo_d[1], nett_inst/fifo_d[0], nett_inst/fifo_in, nett_inst/fifo_drop, nett_inst/s1_ack[31:0], nett_inst/s1_ack[31], nett_inst/s1_ack[30], nett_inst/s1_ack[29], nett_inst/s1_ack[28], nett_inst/s1_ack[27], nett_inst/s1_ack[26], nett_inst/s1_ack[25], nett_inst/s1_ack[24], nett_inst/s1_ack[23], nett_inst/s1_ack[22], nett_inst/s1_ack[21], nett_inst/s1_ack[20], nett_inst/s1_ack[19], nett_inst/s1_ack[18], nett_inst/s1_ack[17], nett_inst/s1_ack[16], nett_inst/s1_ack[15], nett_inst/s1_ack[14], nett_inst/s1_ack[13], nett_inst/s1_ack[12], nett_inst/s1_ack[11], nett_inst/s1_ack[10], nett_inst/s1_ack[9], nett_inst/s1_ack[8], nett_inst/s1_ack[7], nett_inst/s1_ack[6], nett_inst/s1_ack[5], nett_inst/s1_ack[4], nett_inst/s1_ack[3], nett_inst/s1_ack[2], nett_inst/s1_ack[1], nett_inst/s1_ack[0], nett_inst/s1_seq[31:0], nett_inst/s1_seq[31], nett_inst/s1_seq[30], nett_inst/s1_seq[29], nett_inst/s1_seq[28], nett_inst/s1_seq[27], nett_inst/s1_seq[26], nett_inst/s1_seq[25], nett_inst/s1_seq[24], nett_inst/s1_seq[23], nett_inst/s1_seq[22], nett_inst/s1_seq[21], nett_inst/s1_seq[20], nett_inst/s1_seq[19], nett_inst/s1_seq[18], nett_inst/s1_seq[17], nett_inst/s1_seq[16], nett_inst/s1_seq[15], nett_inst/s1_seq[14], nett_inst/s1_seq[13], nett_inst/s1_seq[12], nett_inst/s1_seq[11], nett_inst/s1_seq[10], nett_inst/s1_seq[9], nett_inst/s1_seq[8], nett_inst/s1_seq[7], nett_inst/s1_seq[6], nett_inst/s1_seq[5], nett_inst/s1_seq[4], nett_inst/s1_seq[3], nett_inst/s1_seq[2], nett_inst/s1_seq[1], nett_inst/s1_seq[0], nett_inst/s1_win[31:0], nett_inst/s1_win[31], nett_inst/s1_win[30], nett_inst/s1_win[29], nett_inst/s1_win[28], nett_inst/s1_win[27], nett_inst/s1_win[26], nett_inst/s1_win[25], nett_inst/s1_win[24], nett_inst/s1_win[23], nett_inst/s1_win[22], nett_inst/s1_win[21], nett_inst/s1_win[20], nett_inst/s1_win[19], nett_inst/s1_win[18], nett_inst/s1_win[17], nett_inst/s1_win[16], nett_inst/s1_win[15], nett_inst/s1_win[14], nett_inst/s1_win[13], nett_inst/s1_win[12], nett_inst/s1_win[11], nett_inst/s1_win[10], nett_inst/s1_win[9], nett_inst/s1_win[8], nett_inst/s1_win[7], nett_inst/s1_win[6], nett_inst/s1_win[5], nett_inst/s1_win[4], nett_inst/s1_win[3], nett_inst/s1_win[2], nett_inst/s1_win[1], nett_inst/s1_win[0], nett_inst/s1_flags[7:0], nett_inst/s1_flags[7], nett_inst/s1_flags[6], nett_inst/s1_flags[5], nett_inst/s1_flags[4], nett_inst/s1_flags[3], nett_inst/s1_flags[2], nett_inst/s1_flags[1], nett_inst/s1_flags[0], nett_inst/s1_mss[13:0], nett_inst/s1_mss[13], nett_inst/s1_mss[12], nett_inst/s1_mss[11], nett_inst/s1_mss[10], nett_inst/s1_mss[9], nett_inst/s1_mss[8], nett_inst/s1_mss[7], nett_inst/s1_mss[6], nett_inst/s1_mss[5], nett_inst/s1_mss[4], nett_inst/s1_mss[3], nett_inst/s1_mss[2], nett_inst/s1_mss[1], nett_inst/s1_mss[0], nett_inst/s1/s1_ptr[4:0], nett_inst/s1/s1_ptr[4], nett_inst/s1/s1_ptr[3], nett_inst/s1/s1_ptr[2], nett_inst/s1/s1_ptr[1], nett_inst/s1/s1_ptr[0], nett_inst/s1_clr, nett_inst/s1_resyn, nett_inst/s1_busy, nett_inst/s1_active, nett_inst/s1_error, nett_inst/s1_rd_av, nett_inst/s1/state[4:0], nett_inst/s1/state[4], nett_inst/s1/state[3], nett_inst/s1/state[2], nett_inst/s1/state[1], nett_inst/s1/state[0], nett_inst/s1/s0_ptr[5:0], nett_inst/s1/s0_ptr[5], nett_inst/s1/s0_ptr[4], nett_inst/s1/s0_ptr[3], nett_inst/s1/s0_ptr[2], nett_inst/s1/s0_ptr[1], nett_inst/s1/s0_ptr[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
2, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
3, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
4, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
5, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
6, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
7, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
8, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
9, 00, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93BB52C9, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0000FFFF, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 05B4, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 08, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0,
