Groups:
nett_inst/fifo_d[7:0] =, nett_inst/fifo_d[7], nett_inst/fifo_d[6], nett_inst/fifo_d[5], nett_inst/fifo_d[4], nett_inst/fifo_d[3], nett_inst/fifo_d[2], nett_inst/fifo_d[1], nett_inst/fifo_d[0], ,
nett_inst/rx_state[7:0] =, nett_inst/rx_state[7], nett_inst/rx_state[6], nett_inst/rx_state[5], nett_inst/rx_state[4], nett_inst/rx_state[3], nett_inst/rx_state[2], nett_inst/rx_state[1], nett_inst/rx_state[0], ,
nett_inst/total_len_rx[15:0] =, nett_inst/total_len_rx[15], nett_inst/total_len_rx[14], nett_inst/total_len_rx[13], nett_inst/total_len_rx[12], nett_inst/total_len_rx[11], nett_inst/total_len_rx[10], nett_inst/total_len_rx[9], nett_inst/total_len_rx[8], nett_inst/total_len_rx[7], nett_inst/total_len_rx[6], nett_inst/total_len_rx[5], nett_inst/total_len_rx[4], nett_inst/total_len_rx[3], nett_inst/total_len_rx[2], nett_inst/total_len_rx[1], nett_inst/total_len_rx[0], ,
nett_inst/head_len_rx[7:0] =, nett_inst/head_len_rx[7], nett_inst/head_len_rx[6], nett_inst/head_len_rx[5], nett_inst/head_len_rx[4], nett_inst/head_len_rx[3], nett_inst/head_len_rx[2], nett_inst/head_len_rx[1], nett_inst/head_len_rx[0], ,
nett_inst/ipv4_chk_rx[15:0] =, nett_inst/ipv4_chk_rx[15], nett_inst/ipv4_chk_rx[14], nett_inst/ipv4_chk_rx[13], nett_inst/ipv4_chk_rx[12], nett_inst/ipv4_chk_rx[11], nett_inst/ipv4_chk_rx[10], nett_inst/ipv4_chk_rx[9], nett_inst/ipv4_chk_rx[8], nett_inst/ipv4_chk_rx[7], nett_inst/ipv4_chk_rx[6], nett_inst/ipv4_chk_rx[5], nett_inst/ipv4_chk_rx[4], nett_inst/ipv4_chk_rx[3], nett_inst/ipv4_chk_rx[2], nett_inst/ipv4_chk_rx[1], nett_inst/ipv4_chk_rx[0], ,
nett_inst/ip_header_len[7:0] =, nett_inst/ip_header_len[7], nett_inst/ip_header_len[6], nett_inst/ip_header_len[5], nett_inst/ip_header_len[4], nett_inst/ip_header_len[3], nett_inst/ip_header_len[2], nett_inst/ip_header_len[1], nett_inst/ip_header_len[0], ,
nett_inst/ip_flags[7:0] =, nett_inst/ip_flags[7], nett_inst/ip_flags[6], nett_inst/ip_flags[5], nett_inst/ip_flags[4], nett_inst/ip_flags[3], nett_inst/ip_flags[2], nett_inst/ip_flags[1], nett_inst/ip_flags[0], ,
nett_inst/ip_window_size[15:0] =, nett_inst/ip_window_size[15], nett_inst/ip_window_size[14], nett_inst/ip_window_size[13], nett_inst/ip_window_size[12], nett_inst/ip_window_size[11], nett_inst/ip_window_size[10], nett_inst/ip_window_size[9], nett_inst/ip_window_size[8], nett_inst/ip_window_size[7], nett_inst/ip_window_size[6], nett_inst/ip_window_size[5], nett_inst/ip_window_size[4], nett_inst/ip_window_size[3], nett_inst/ip_window_size[2], nett_inst/ip_window_size[1], nett_inst/ip_window_size[0], ,
nett_inst/ip_chksum[15:0] =, nett_inst/ip_chksum[15], nett_inst/ip_chksum[14], nett_inst/ip_chksum[13], nett_inst/ip_chksum[12], nett_inst/ip_chksum[11], nett_inst/ip_chksum[10], nett_inst/ip_chksum[9], nett_inst/ip_chksum[8], nett_inst/ip_chksum[7], nett_inst/ip_chksum[6], nett_inst/ip_chksum[5], nett_inst/ip_chksum[4], nett_inst/ip_chksum[3], nett_inst/ip_chksum[2], nett_inst/ip_chksum[1], nett_inst/ip_chksum[0], ,
nett_inst/rx_byte[7:0] =, nett_inst/rx_byte[7], nett_inst/rx_byte[6], nett_inst/rx_byte[5], nett_inst/rx_byte[4], nett_inst/rx_byte[3], nett_inst/rx_byte[2], nett_inst/rx_byte[1], nett_inst/rx_byte[0], ,
nett_inst/opt_len[7:0] =, nett_inst/opt_len[7], nett_inst/opt_len[6], nett_inst/opt_len[5], nett_inst/opt_len[4], nett_inst/opt_len[3], nett_inst/opt_len[2], nett_inst/opt_len[1], nett_inst/opt_len[0], ,
nett_inst/tcp_rx_flow[7:0] =, nett_inst/tcp_rx_flow[7], nett_inst/tcp_rx_flow[6], nett_inst/tcp_rx_flow[5], nett_inst/tcp_rx_flow[4], nett_inst/tcp_rx_flow[3], nett_inst/tcp_rx_flow[2], nett_inst/tcp_rx_flow[1], nett_inst/tcp_rx_flow[0], ,
nett_inst/rx_cnt1[7:0] =, nett_inst/rx_cnt1[7], nett_inst/rx_cnt1[6], nett_inst/rx_cnt1[5], nett_inst/rx_cnt1[4], nett_inst/rx_cnt1[3], nett_inst/rx_cnt1[2], nett_inst/rx_cnt1[1], nett_inst/rx_cnt1[0], ,
nett_inst/rx_cnt2[7:0] =, nett_inst/rx_cnt2[7], nett_inst/rx_cnt2[6], nett_inst/rx_cnt2[5], nett_inst/rx_cnt2[4], nett_inst/rx_cnt2[3], nett_inst/rx_cnt2[2], nett_inst/rx_cnt2[1], nett_inst/rx_cnt2[0], ,

Data:
time unit: us, nett_inst/fifo_d[7:0], nett_inst/fifo_d[7], nett_inst/fifo_d[6], nett_inst/fifo_d[5], nett_inst/fifo_d[4], nett_inst/fifo_d[3], nett_inst/fifo_d[2], nett_inst/fifo_d[1], nett_inst/fifo_d[0], nett_inst/fifo_in, nett_inst/fifo_drop, nett_inst/rx_state[7:0], nett_inst/rx_state[7], nett_inst/rx_state[6], nett_inst/rx_state[5], nett_inst/rx_state[4], nett_inst/rx_state[3], nett_inst/rx_state[2], nett_inst/rx_state[1], nett_inst/rx_state[0], nett_inst/total_len_rx[15:0], nett_inst/total_len_rx[15], nett_inst/total_len_rx[14], nett_inst/total_len_rx[13], nett_inst/total_len_rx[12], nett_inst/total_len_rx[11], nett_inst/total_len_rx[10], nett_inst/total_len_rx[9], nett_inst/total_len_rx[8], nett_inst/total_len_rx[7], nett_inst/total_len_rx[6], nett_inst/total_len_rx[5], nett_inst/total_len_rx[4], nett_inst/total_len_rx[3], nett_inst/total_len_rx[2], nett_inst/total_len_rx[1], nett_inst/total_len_rx[0], nett_inst/head_len_rx[7:0], nett_inst/head_len_rx[7], nett_inst/head_len_rx[6], nett_inst/head_len_rx[5], nett_inst/head_len_rx[4], nett_inst/head_len_rx[3], nett_inst/head_len_rx[2], nett_inst/head_len_rx[1], nett_inst/head_len_rx[0], nett_inst/ipv4_chk_rx[15:0], nett_inst/ipv4_chk_rx[15], nett_inst/ipv4_chk_rx[14], nett_inst/ipv4_chk_rx[13], nett_inst/ipv4_chk_rx[12], nett_inst/ipv4_chk_rx[11], nett_inst/ipv4_chk_rx[10], nett_inst/ipv4_chk_rx[9], nett_inst/ipv4_chk_rx[8], nett_inst/ipv4_chk_rx[7], nett_inst/ipv4_chk_rx[6], nett_inst/ipv4_chk_rx[5], nett_inst/ipv4_chk_rx[4], nett_inst/ipv4_chk_rx[3], nett_inst/ipv4_chk_rx[2], nett_inst/ipv4_chk_rx[1], nett_inst/ipv4_chk_rx[0], nett_inst/ip_header_len[7:0], nett_inst/ip_header_len[7], nett_inst/ip_header_len[6], nett_inst/ip_header_len[5], nett_inst/ip_header_len[4], nett_inst/ip_header_len[3], nett_inst/ip_header_len[2], nett_inst/ip_header_len[1], nett_inst/ip_header_len[0], nett_inst/ip_flags[7:0], nett_inst/ip_flags[7], nett_inst/ip_flags[6], nett_inst/ip_flags[5], nett_inst/ip_flags[4], nett_inst/ip_flags[3], nett_inst/ip_flags[2], nett_inst/ip_flags[1], nett_inst/ip_flags[0], nett_inst/ip_window_size[15:0], nett_inst/ip_window_size[15], nett_inst/ip_window_size[14], nett_inst/ip_window_size[13], nett_inst/ip_window_size[12], nett_inst/ip_window_size[11], nett_inst/ip_window_size[10], nett_inst/ip_window_size[9], nett_inst/ip_window_size[8], nett_inst/ip_window_size[7], nett_inst/ip_window_size[6], nett_inst/ip_window_size[5], nett_inst/ip_window_size[4], nett_inst/ip_window_size[3], nett_inst/ip_window_size[2], nett_inst/ip_window_size[1], nett_inst/ip_window_size[0], nett_inst/ip_chksum[15:0], nett_inst/ip_chksum[15], nett_inst/ip_chksum[14], nett_inst/ip_chksum[13], nett_inst/ip_chksum[12], nett_inst/ip_chksum[11], nett_inst/ip_chksum[10], nett_inst/ip_chksum[9], nett_inst/ip_chksum[8], nett_inst/ip_chksum[7], nett_inst/ip_chksum[6], nett_inst/ip_chksum[5], nett_inst/ip_chksum[4], nett_inst/ip_chksum[3], nett_inst/ip_chksum[2], nett_inst/ip_chksum[1], nett_inst/ip_chksum[0], nett_inst/rx_in_prog, nett_inst/rx_trg, nett_inst/rx_byte[7:0], nett_inst/rx_byte[7], nett_inst/rx_byte[6], nett_inst/rx_byte[5], nett_inst/rx_byte[4], nett_inst/rx_byte[3], nett_inst/rx_byte[2], nett_inst/rx_byte[1], nett_inst/rx_byte[0], nett_inst/opt_len[7:0], nett_inst/opt_len[7], nett_inst/opt_len[6], nett_inst/opt_len[5], nett_inst/opt_len[4], nett_inst/opt_len[3], nett_inst/opt_len[2], nett_inst/opt_len[1], nett_inst/opt_len[0], nett_inst/tcp_rx_flow[7:0], nett_inst/tcp_rx_flow[7], nett_inst/tcp_rx_flow[6], nett_inst/tcp_rx_flow[5], nett_inst/tcp_rx_flow[4], nett_inst/tcp_rx_flow[3], nett_inst/tcp_rx_flow[2], nett_inst/tcp_rx_flow[1], nett_inst/tcp_rx_flow[0], nett_inst/rx_cnt1[7:0], nett_inst/rx_cnt1[7], nett_inst/rx_cnt1[6], nett_inst/rx_cnt1[5], nett_inst/rx_cnt1[4], nett_inst/rx_cnt1[3], nett_inst/rx_cnt1[2], nett_inst/rx_cnt1[1], nett_inst/rx_cnt1[0], nett_inst/rx_cnt2[7:0], nett_inst/rx_cnt2[7], nett_inst/rx_cnt2[6], nett_inst/rx_cnt2[5], nett_inst/rx_cnt2[4], nett_inst/rx_cnt2[3], nett_inst/rx_cnt2[2], nett_inst/rx_cnt2[1], nett_inst/rx_cnt2[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
2, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
3, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
4, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
5, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
6, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
7, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
8, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
9, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0EE4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, FFFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 849C, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, F1, 1, 1, 1, 1, 0, 0, 0, 1, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 69, 0, 1, 1, 0, 1, 0, 0, 1,
